original,translate
Mayonesas,Maionese
Crèmes D'Artichaut,Crema di carciofi
Moutardes De Dijon,Senape di Digione
En:Common Beans,Fagioli comuni
Haricots Blancs,Fagioli bianchi
Fagioli Neri,Fagioli Neri
Es:Crema De Alcachofas,Crema De Alcachofas
Fr:Sauces Arrabbiata,Salse Arrabbiata
Sauce Piquante À Base De Tomates,Salsa piccante a base di pomodoro
Polenta Pronta,Polenta Pronta
Fave,Preferiti
Pesce E Carne E Uova,Pesce E Carne E Uova
Orata,Orata
Tramezzino Al Tonno,Tramezzino Al Tonno
Robiolino,Robiolino
En:Tuna-In-Brine,Tuna In Brine
En:Filled Chocolate Eggs,Uova di cioccolato ripiene
En:Creme Uht,Crema Uht
En:Apricot Pies,Torte di albicocche
Integral,Integrale
Cappuccino Solubile,Cappuccino Solubile
Carne In Gelatina,Carne in gelatina
Yogurt Parzialmente Scremato,Yogurt Parzialmente Scremato
En:Piadina Integrale,Piadina Integrale
En:Zucchero Bianco,Zucchero Bianco
Hamburger Di Verdure,Hamburger di Verdure
S,S
En:Formaggi Greci,Formaggi Greci
En:Bouillon Powders,Polveri di brodo
Bibite,Bibite
Tortini Di Cioccolato,Tortini Di Cioccolato
Mixed Plant Milks,Latti vegetali misti
Smoked Cured Hams,Prosciutti affumicati
Spalmabile Di Tofu Alle Erbe,Spalmabile Di Tofu Alle Erbe
Spalmabile-Di-Tofu,Spalmabile Di Tofu
Pane-Duro,Pane duro
En:French Bread Sandwiches,Panini di pane francese
En:Sandwich With Tuna And Vegetables,Panino con tonno e verdure
En:Baguette Sandwiches With Tuna And Vegetables And Mayonnaise,Tramezzini di baguette con tonno e verdure e maionese
Preparazioni A Base Di Soia,Preparazioni A Base Di Soia
En:Shrimps In Brine,Gamberetti in salamoia
En:Boiled Mussels,Cozze bollite
Ru:Йогурт Фисташковый,Yogurt al pistacchio
Preparazione Alimentare,Preparazione Alimentare
En:Soups-Of-Lentils,Zuppe di lenticchie
En:Bean Soups,Zuppe di fagioli
Friselle,Friselle
Formaggio Molle Da Tavola,Formaggio Molle Da Tavola
Bevanda Di Orzo Bio,Bevanda Di Orzo Bio
Short Grain Rices,Riso a grana corta
Verdure Sott'Olio,Verdure Sott'Olio
Ravioli In Scatola,Ravioli In Scatola
En:Fresh Pasta Stuffed With Cheese,Pasta fresca ripiena di formaggio
Gamberetti,Gamberetti
Scampi,Scampi
Casoncelli,Casoncelli
En:Olive Intere,Olive Intere
En:Olive Verdi,Olive Verdi
En:Olive Verdi Intere,Olive Verdi Intere
En:Sottaceti,Sottaceti
En:Sottaceti A Base Di Vegetali,Sottaceti A Base Di Vegetali
Kött Och Dess Produkter,Carne e prodotti derivati
Kött,Kött
En:Cured Sausages,Salsicce stagionate
En:Italian Meat Products,Prodotti di carne italiani
Jambons De San Daniele,Jambons De San Daniele
Hr:Sendviči,Panini
Mirtilli-Sciroppati,Mirtilli Sciroppati
Condimento-A-Base-Di-Pomodoro-Con-Verdure,Condimento A Base Di Pomodoro Con Verdure
Condimento A Base Di Pomodoro,Condimento A Base Di Pomodoro
Panificati,Panificati
Acque Aromatizzate,Acque Aromatizzate
Ciambelle Donut,Ciambelle Donut
Olive Tritate,Tritato di oliva
Olive Verdi Tagliate,Olive Verdi Tagliate
En:Potato Puree,Potato Puree
Ortofrutta,Ortofrutta
Melanzane Sott'Olio,Melanzane Sott'Olio
Buffalo Dairies,Caseifici di Buffalo
En:Durum-Wheat-Pasta,Pasta di grano duro
Zuppa Fave E Piselli,Zuppa Fave E Piselli
Gelato-Alla-Stracciatella,Gelato Alla Stracciatella
Gelato Alla Stracciatella,Gelato Alla Stracciatella
Gelato Di Yogurt,Gelato su yogurt
En:Prodotto Caseario,Prodotto Caseario
Zampone Modena,Zampone Modena
Pure Tradizionale,Pure Tradizionale
Frutta Da Bere,Frutta Da Bere
Succo Frutta,Succo Frutta
Pastine,Pastina
Dolci Fritti,Dolci Fritti
Polvere Da Cottura O Agente Lievitante,Polvere Da Cottura O Agente Lievitante
Pistacchio Tostato,Pistacchio Tostato
Patatine Mais,Patatine Ma
En:Gummy Strawberries,Fragole gommose
Verdure Impanate,Verdure impanate
Sugo Alle Noci,Sugo Alle Noci
En:Sugar-Free Candies,Caramelle senza zucchero
Cannoli Di Wafer,Cannoli Di Wafer
Dolceario,Dolceario
Sfogliatine Dolci,Sfogliatine Dolci
Bevanda-Fredda-Deteinato,Bevanda Fredda Deteinato
The Freddo Deteinato,The Freddo Deteinato
Gelatine Di Frutta,Gelatine Di Frutta
Cipolla A Cubetti,Cipolla A Cubetti
Wafer Ripieni Di Cacao,Wafer Ripieni Di Cacao
Fusilloni,Fusilloni
Cibo-Famiglia,Cibo Famiglia
Caffè Solubile,Caffè Solubile
Salse Di Noci,Salse Di Noci
Mafaldine,Mafaldine
Tacchino Arrosto,Tacchino Arrosto
Prosciutto-Cotto-Di-Praga,Prosciutto Cotto Di Praga
Pane Per Tramezzini,Pane Per Tramezzini
Sedani,Sedani
Soffritto,Soffritto
En:Vegan Vanilla Puddings,Budini vegani alla vaniglia
Boissons Multivégétaux,Bevande a base di più verdure
Schwein,Maiale
Speckwürfel,Cubetti di pancetta
Crocchette Vegetali,Crocchette Vegetali
Pizzas Margherita,Pizzas Margherita
Pinse,Pinse
Affettati,Affettati
En:Blend Of Rolled Cereal Flakes,Miscela di fiocchi di cereali arrotolati
Olio Di Oliva Sicilia,Olio Di Oliva Sicilia
En:Barley Flakes,Fiocchi d'orzo
Sciroppi Di Cereali,Sciroppi Di Cereali
Sciroppi Di Riso,Sciroppi Di Riso
En:Barley Malt Syrup,Sciroppo di malto d'orzo
En:Khorasan Pasta,Pasta Khorasan
Quinoa Soffiata,Quinoa Soffiata
En:Puffed Barley,Orzo soffiato
En:Ravioli With Porcini Mushrooms,Ravioli ai funghi porcini
Frutta A Guscio Frutta Secca Uva Sultanina,Frutta A Guscio Frutta Secca Uva Sultanina
Biscotti-Biologici-Integrali,Biscotti Biologici Integrali
Fr:Lasagnes-A-Garnir,Lasagne A Garnir
Nl:Pure Chocola,Cioccolato puro
Farine Di Sorgo,Farine Di Sorgo
En:Walnut Sauces,Salse alle noci
En:Eggplants Under Oil,Melanzane sott'olio
Patè Di Cipolle,Patè Di Cipolle
Salse Di Cipolle,Salse Di Cipolle
Patè Di Campagna,Patè Di Campagna
Barre Di Frutta E Semi,Barre Di Frutta E Semi
Polpette,Polpette
Preparato,Preparato
Confitture Di Mela,Confitture Di Mela
Prodotto Da Forno Biologico,Prodotto Da Forno Biologico
En:Squeezed Blueberry Juices,Succhi di mirtillo spremuti
Radicchio,Radicchio
Radicchio Variegato Di Castelfranco,Radicchio Variegato Di Castelfranco
En:Paprika Chips,Patatine al pepe
En:Kombu Seaweeds,Alghe Kombu
En:Spelt Pastas,Pasta di farro
Riso Originario Italiano Integrale,Riso Originario Italiano Integrale
Crisca,Crisca
Cous-Cous,Cous Cous
Chocolate Wheat Shells,Conchiglie di grano al cioccolato
Breakfast Chocolate Cereals Not Filled And Not Fortified With Vitamins And Chemical Elements,Cereali al cioccolato per la prima colazione non farciti e non addizionati di vitamine ed elementi chimici
Breakfast Chocolate Cereals With Wheat Grain Flakes Not Fortified With Vitamins And Chemical Elements,Cereali al cioccolato per la prima colazione con fiocchi di grano non arricchiti di vitamine ed elementi chimici
Sale Iposodico,Sale Iposodico
Legumi Cakes,Torte Legumi
Fette Biscottate Biologiche Di Farro Con Olio Extravergine Di Oliva 10%,Fette Biscottate Biologiche Di Farro Con Olio Extravergine Di Oliva 10%
It:Biscotti Di Farro Biologici Senza Lievito,Biscotti Di Farro Biologici Senza Lievito
Pâtes De Sarrasin,Pasta di grano saraceno
Legumbres Secas,Legumi secchi
Lentejas,Lenti
Lentejas Peladas,Obiettivi nudi
Lentejas Rojas,Lentejas Rojas
Lentejas Rojas Peladas,Lenticchie rosse decorticate
Lentejas Rojas Peladas Partidas,Lenticchie rosse decorticate spezzate
Jengibre Confitado,Zenzero candito
Fiocchi Di Riso,Fiocchi Di Riso
En:Umeboshi Vinegars,Aceti di Umeboshi
Algas Arame,Algas Arame
Algas Arame Deshidratadas,Alga Arame essiccata
Formaggio-A-Pasta-Filata,Formaggio A Pasta Filata
Red Rices,Risi rossi
Egg Yolk,Tuorlo d'uovo
Preparazione Alimentare A Base Di Farro,Preparazione Alimentare A Base Di Farro
Mezzelune,Mezzelune
Maccheroncini Di Campofilone,Maccheroncini Di Campofilone
En:Rye-And-Wheat Breads,Pane di segale e di frumento
En:Sugi,Sugi
En:Tomatensaucen,Salse al pomodoro
Fr:Nougats Sarde (It),Torrone Sarde (It)
Ciliegie Ricoperte Di Cioccolato,Ciliegie Ricoperte Di Cioccolato
Fr:Gingembrettes,Zenzero
Sl:Biškoti,Biscotti
Sl:Čokoladni Biškoti,Biscotti al cioccolato
Confetture Di Mora,Confetture Di Mora
En:Tilsit,Tilsit
Juhe,Juhe
Kruhovi,Il giro
Ceci Lessati,Ceci Lessati
Salsa-Cocktail-E-Verdura,Salsa Cocktail E Verdura
Tram,Tram
Tramezzini-Gamberetti,Tramezzini Gamberetti
Tramezzino,Tramezzino
Salsa Cocktail E Verdure,Salsa Cocktail E Verdure
Strudel,Strudel
Formaggio Industriale,Formaggio Industriale
En:Pearled Barley,Orzo perlato
Straccetti-Di-Soia,Straccetti Di Soia
Salsa Greca,Salsa Greca
Girasoli,Girasoli
En:Cioccolatini Ripieni Di Latte,Cioccolatini Ripieni Di Latte
En:Cioccolato Al Latte,Cioccolato Al Latte
En:Cioccolato Ripieno,Cioccolato Ripieno
En:Succo Di Frutta,Succo Di Frutta
Gnocchi Di Patata,Gnocchi Di Patata
En:Frozen Desserts,Dessert congelati
Sladoledi I Sorbeti,Sladoledi I Sorbeti
Sladoledi,Gelati
Prodotti Per L'Infanzia,Prodotti Per L'Infanzia
Dolci Da Forno,Dolci Da Forno
Fontina,Fontina
En:Dried Apricots,Albicocche secche
Rotelle,Rotelle
En:Caramelle Gommose,Caramelle Gommose
Tortini All'Albicocca,Tortini All'Albicocca
En:Albacore,Alalunga
Meredine-Dolci,Meredine Dolci
Piatti A Base Di Carne Di Vitello,Piatti A Base Di Carne Di Vitello
En:Snack Salato,Snack Salato
Pasta Di Semola,Pasta di Semola
Succo Ai Frutti Di Bosco,Succo Ai Frutti Di Bosco
En:Preparations-Made-From-Fish-Meat,Preparazioni a base di carne di pesce
En:Croissant Al Burro,Croissant Al Burro
Sorbetto Al Mango,Sorbetto Al Mango
Dal Terzo Anno,Dal Terzo Anno
Pasta Surgelata,Pasta Surgelata
En:Mozzarella Sticks,Mozzarella Sticks
En:Bocconcini,Bocconcini
En:Bocconcini Di Mozzarella,Bocconcini Di Mozzarella
Suc De Fructe,Suc De Fructe
Salse Da Dessert,Salse Da Dessert
Coulis Di Frutta,Coulis Di Frutta
Rape,Stupro
Risotto Alla Marinara,Risotto Alla Marinara
Preparati-Per-Pasta,Preparati Per Pasta
En:Croissants Fourrés,Croissant con ripieno
Generi Alimentari,Generi Alimentari
En:Tomato-Sauces,Salse al pomodoro
Aglio E Derivati,Aglio E Derivati
Aglio,Aglio
Tropical Tunas,Tonni tropicali
Yellowfin Tunas,Tonni pinna gialla
Molluschi Precotti,Molluschi Precotti
Petali,Petali
Paprica,Paprica
Affogato Al Caffè,Affogato Al Caffè
Moules,Stampi
En:Clam,Vongola
Integratore Alimentare Erboristico,Integratore Alimentare Erboristico
Aloe Zero,Aloe Zero
Coconut Waters,Acque di cocco
Babas Au Limoncello,Babà al limoncello
En:Lemon-Marmelades,Marmellate di limone
Marmellata-Di-Limone-Di-Siracusa,Marmellata Di Limone Di Siracusa
Pt:Lacticínios,Prodotti lattiero-caseari
En:Goat Stracchino,Goat Stracchino
Farine Di Segale,Farine Di Segale
Fiocchi Di Segale,Fiocchi Di Segale
Farine Di Lino,Farine Di Lino
Cioccolato Al Latte Con Caramello,Cioccolato Al Latte Con Caramello
Sugars,Zuccheri
Olio Di Oliva Extravergine Italiano,Olio Di Oliva Extravergine Italiano
De:Geleebonbons,Geleebonbons
Pasti Con Pollo,Pasti Con Pollo
Dinde Et Dérivés,Turchia e derivati
Dindes,Dindes
Pollo Y Sus Productos,Pollo e prodotti di pollo
Preparados De Carne,Preparazioni di carne
Empanados,Impanati
En:Chicken Preparations,Preparazioni di pollo
En:Poultry Nuggets,Pepite di pollame
Pollo Empanado,Pollo impanato
Nugget De Pollo,Pepita di pollo
Hamburger-Di-Pollo,Hamburger di pollo
Meringues,Meringhe
En:Fish Patties,Polpettine di pesce
Acacia Honeys,Mieli di acacia
En:Curd Snacks,Snack a base di cagliata
Huile D'Olive De Riviera Ligure,Huile D'Olive De Riviera Ligure
En:Snack Salati,Snack Salati
Basilico,Basilico
De:It 2916 Ec,It 2916 Ec
Sorbetto Al Mandarino,Sorbetto Al Mandarino
Ru:Морожено,Gelato
En:Hollow Chocolate Eggs,Uova di cioccolato cave
Sesamo Bianco,Sesamo Bianco
Acqua Tonica,Acqua Tonica
Pane Senza Lievito,Pane Senza Lievito
Pollini,Pollini
En:Smoked Cheeses,Formaggi affumicati
Cannelloni Préparés,Cannelloni preparati
Pizza Salamino,Pizza Salamino
Limonissimo,Limonissimo
Zuppa-Di-Lenticchie,Zuppa Di Lenticchie
Mini Burger Vegetale,Mini hamburger vegetariano
En:Olives In Brine,Olive in salamoia
Olive Taggiasche In Salamoia,Olive Taggiasche In Salamoia
Pate-Di-Olive,Pate Di Olive
Olio Extra Vergine Di Oliva Dop Riviera Ligure,Olio Extra Vergine Di Oliva Dop Riviera Ligure
Tortellini O Ravioli Alla Carne,Tortellini O Ravioli Alla Carne
En:Meat Ravioli,Ravioli di carne
Ravioli Di Manzo,Ravioli Di Manzo
Fr:Céréales Préparées,Cereali preparati
En:Prepared Rices,Riso preparato
En:White Rice Cooked With Chicken,Riso bianco con pollo
Nettare Di Fragola,Nettare Di Fragola
Frullato-Di-Frutta,Frullato Di Frutta
Frutta-Disidratata,Frutta Disidratata
Cioccolato Fondente Al Pistacchio,Cioccolato Fondente Al Pistacchio
En:Chocolate With Pistachios,Cioccolato con pistacchi
Tourons Aux Amandes,Twist alle mandorle
Fruit Jellies,Gelatine di frutta
Fusilli Di Farro Dicocco Bio,Fusilli Di Farro Dicocco Bio
Fr:Yaourts Grecs,Greci Yaourts
Brooches Mini,Spille Mini
En:White Chocolates With Almonds,Cioccolatini bianchi con mandorle
Stabilizzanti,Stabilizzanti
Gelatina,Gelatina
En:Funghi,Funghi
Cornetti Vuoti,Perdita di Cornetti
En:Prodotti Da Forno,Prodotti Da Forno
Tarallini,Tarallini
En:Black Olives In Oil,Olive nere sott'olio
Pommes Séchées,Mele secche
Olio Di Oliva Dauno,Olio Di Oliva Dauno
Préparations De Viande À Tartiner,Preparazioni di carne spalmabili
En:Meat-Based-Products,Prodotti a base di carne
Lenticchia Di Castelluccio Di Norcia,Lenticchia Di Castelluccio Di Norcia
Miels De Châtaignier,Mieli di castagno
Confitures De Figues,Marmellata di fichi
Fr:Miel D'Italie,Miel D'Italie
Crèmes De Marrons,Crema di castagne
Es:Pasta De Huevo Fresco,Pasta d'uovo fresca
Salame Brianza,Salame Brianza
Bean Soups,Zuppe di fagioli
穀物とジャガイモ,Cereali e patate
ニョッキ,gnocchi
En:Potato Gnocchi,Potato Gnocchi
Confitture Di Pera,Confitture Di Pera
Riz Soufflé,Soufflé di riso
Latte Di Soia,Latte Di Soia
Minestrone Soups,Zuppe di minestrone
Cereali-Precotti,Cereali Precotti
Farro Precotto,Farro Precotto
Bruschette,Bruschette
Schiacciatine,Schiacciatine
Cow Milks,Latte di mucca
En:Lattici,Lattici
Alimento,Cibo
Zucchero-Semolato,Zucchero Semolato
Wheat Bran Sticks,Bastoncini di crusca di frumento
It:Cereali Prima Colazione,Cereali Prima Colazione
Thons Albacore Au Naturel,Tonno bianco al naturale
Farina Di Cocco,Farina Di Cocco
En:Vegetarien-Hamburgers,Hamburger vegetariani
Integratori-Alimentari,Integratori Alimentari
Sandwiche Belegt Mit Aufschnitt,Panini con salumi
Cotolette Di Tacchino,Cotolette Di Tacchino
Radicchio Di Chioggia,Radicchio Di Chioggia
Miels De Tilleul,Miels De Tilleul
Wild Salmons,Salmoni selvatici
Wild Smoked Salmons,Salmoni selvatici affumicati
It:Carne-Suina,Carne Suina
Torte Di Mele,Torte Di Mele
Olio Extravergine Oliva,Olio Extravergine Oliva
Occhi Di Lupo,Occhi Di Lupo
Paste Făinoase,Pasta Pasta
En:Durum Wheat Pasta,Pasta di grano duro
En:Burro,Burro
Vellutata Di Ceci,Vellutata Di Ceci
Curcuma,Curcuma
Polvere Di Curcuma,Polvere Di Curcuma
Curry,Curry
Anacardi,Anacardi
Cereale,Cereali
En:Baby Carrots,Carote baby
Patata-Del-Fucino,Patata Del Fucino
Montasio,Montasio
Snack Senza Zucchero,Snack Senza Zucchero
It:Bresaola-Punta-D-Anca,Bresaola Punta D Anca
Panforte,Panforte
Panforte Di Siena,Panforte Di Siena
Italienische Wurst,Salsiccia italiana
Salsiccia Secca,Salsiccia Secca
Yogurt Al Cremino,Yogurt Al Cremino
Yogurt Di Aveva E Noci,Yogurt Di Aveva E Noci
Yogurt Magro Bio,Yogurt Magro Biologico
Brodo Granulare,Brodo Granulare
En:Orange-Based Juices,Succhi di frutta a base di arancia
Marmellate Di Melagrana,Marmellate Di Melagrana
Melagrana,Melagrana
Biscotti Di Nocciola E Cioccolato,Biscotti Di Nocciola E Cioccolato
En:Farmed Trouts,Trote d'allevamento
En:Smoked Farmed Trout,Trota d'allevamento affumicata
Sopressa Veneta,Sopressa Veneta
Lentil Dishes,Piatti a base di lenticchie
Rillettes,Rillettes
Cibi In Vasetto,Cibi In Vasetto
En:Conserve,Conservare
It:Pomodoro Essiccati,Pomodoro Essiccati
Bevanda Proteica,Proteine Bevanda
Pistachio Spreads,Spalmati di pistacchio
Zumos De Granada,Zumos di Granada
En:Shelf-Stable Prepared Fruit Nuts And Seeds Mixes,"Miscele preparate di frutta, noci e semi stabili da scaffale"
Mix Frutta,Mix Frutta
Uht Skimmed Milks,Latte scremato Uht
Pizzoccheri,Pizzoccheri
En:Wheat Starch,Amido di frumento
Préparations Pour Panna Cotta,Preparazione della panna cotta
En:Kitchen Helpers,Aiutanti di cucina
Farines De Blé Type T65,Farina di frumento tipo T65
Pasta Proteica,Pasta proteica
Salsa Cacio E Pepe,Salsa Cacio E Pepe
Grano Khorasan,Grano Khorasan
Fr:Muesli Aux Fruits Rouges,Muesli ai frutti rossi
En:Stuffed Gnocchi,Gnocchi ripieni
Gnocchis Cuits,Gnocchis Cuits
It:Gnocchi Ripieni,Gnocchi Ripieni
Gnocchi Ripieni,Gnocchi Ripieni
Pasta Sin Gluten,Pasta Sin Gluten
En:Snacks  Biscotti,Snack Biscotti
Pici,Pici
Semolino Di Mais Per Polenta Bianca,Semolino Di Mais Per Polenta Bianca
Latte Biologico Parzialmente Scremato,Latte Biologico Parzialmente Scremato
Pane Di Tipo 0,Pane Di Tipo 0
Teegetränke,Bevande al tè
Eistees,Tè freddo
En:Rolled Wheat Flakes,Fiocchi di grano arrotolati
En:Khorasan Wheat Flakes,Fiocchi di grano Khorasan
Purea Di Pera,Purea Di Pera
It:Bevande A Base Vegetale,Bevande a base vegetale
Confettura Marmellate,Confettura Marmellate
Pâtes De Blé Dur Semi-Complet,Pasta semicompleta di grano duro
It:Primi,Primi
Bevanda Di Orzo,Bevanda Di Orzo
Fr:Pâtes D'Épeautre Complètes Ou Semi-Complètes,Pasta di farro integrale o semi-integrale
Calamarata,Calamarata
It:Pasta-Di-Semola-Di-Grano-Duro,Pasta Di Semola Di Grano Duro
Olio Di Colza,Olio Di Colza
Farina-Di-Grano-Tenero-Tipo-0,Farina Di Grano Tenero Tipo 0
Farina-Integrale-Di-Grano-Tenero,Farina Integrale Di Grano Tenero
Glutine-Di-Frumento,Glutine Di Frumento
Maltata,Maltata
Pannacotta,Pannacotta
Yogurt-Con-Confettura-Extra-Di-Frutti-Di-Bosco,Yogurt Con Confettura Extra Di Frutti Di Bosco
Zenzero,Zenzero
Legumi Tostati,Legumi Tostati
Snack Di Ceci,Snack Di Ceci
Decorazioni,Decorazioni
Semi Alimentari,Semi Alimentari
En:Pizzas Pies And Quiches,"Pizze, torte e quiche"
En:Pizzas,Pizzas
En:Margherita Pizza,Margherita Pizza
En:Panzerottini,Panzerottini
Panzerottini Prosciutto E Formaggio,Panzerottini Prosciutto E Formaggio
En:Panini Breads,Pane per panini
Composta Biologica Di Arancia,Composta Biologica Di Arancia
Mixed Fruit Jams,Marmellate di frutta mista
Mixed Berry Jams,Marmellata di frutti di bosco
Carciofi In Barattolo,Carciofi In Barattolo
Huiles De Grignons D'Olive,Olio di sansa di oliva
En:Chocolates With Nuts,Cioccolatini con noci
Jambon Aux Herbes,Prosciutto alle erbe
En:Whole Or Semi-Whole Durum Wheat Farfalle,Farfalle di grano duro integrali o semintegrali
Praline Francesi,Praline Francesi
Sciroppo Alla Fragola,Sciroppo Alla Fragola
На Завтрак,Per la prima colazione
Намазки,Spread
Сладкие Намазки,Spalmature dolci
Пасты Из Лесного Ореха,Pasta di nocciole
Olive Verdi Ripiene,Olive Verdi Ripiene
Peperoncini Lombardi,Peperoncini Lombardi
En:Corn For Popcorn,Mais per popcorn
Preparati Di Carne,Preparati Di Carne
En:Meat-Products,Prodotti a base di carne
Cotolette Di Pollo,Cotolette Di Pollo
Carne-Macinata,Carne Macinata
Polpettone,Polpettone
Preparati-A-Base-Di-Carne,Preparati A Base Di Carne
Secondi,Secondi
Uova Da Galline Allevate In Gabbie,Uova Da Galline Allevate In Gabbie
En:Shelled Mixed Eggs In Bricks,Uova miste sgusciate in mattoni
Fleischzubereitungen,Preparazioni di carne
Es:Salchichas-De-Cerdo,Salchichas De Cerdo
Torrone Bianco,Torrone Bianco
Torroncini,Torroncini
Gubana,Gubana
Dolce Alle Castagne,Dolce Alle Castagne
Birre Non Filtrate,Birre Non Filtrate
Confetture Di Uva,Confetture Di Uva
En:Latte,Latte
Tavoletta-Di-Cioccolato,Tavoletta Di Cioccolato
It:Salumi,Salumi
Necessario Per Calorie,Necessario Per Calorie
Fr:Biscuit Aux Céréales Riches En Protéines,Biscotto ai cereali ad alto contenuto proteico
Barres Énergétiques Protéinées,Barrette energetiche proteiche
En:Anchovy-Fillets,Filetti di acciughe
Verdure-Sottolio,Verdure Sottolio
Riso Basmati Bianco,Riso Basmati Bianco
Pains De Mie,Dolori di Mie
Torte E Pasticcini Congelati,Torte E Pasticcini Congelati
Nudelsalate,Insalate di pasta
Vegetarische Nudelsalate,Insalate di pasta vegetariane
Pâtes D'Orge,Pasta d'orzo
En:Cordon Bleus,Cordon Bleus
En:Pork Preparations,Preparazioni a base di maiale
En:Pork Patties,Polpette di maiale
Gâteaux Fourrés,Torte ripiene
It:The In Polvere,L'In Polvere
Camomilla Comune,Camomilla Comune
Ro:Ulei-De-Măsline,Olio d'oliva
Corzetti,Corzetti
It:Ginseng & Caffè,Ginseng & Caffè
Anelli,Anelli
En:Fruit Mousses,Mousse di frutta
Composte Mela E Pera,Mela e compost di pere
Purea-Di-Frutta,Purea Di Frutta
Snack Di Riso,Snack Di Riso
Limoni,Limoni
Fr:Glaces Au Citron,Gelato al limone
Passate,Passate
En:Heineken,Heineken
Brown Sauces,Salse marroni
Gravy Sauce,Salsa Gravy
Dado,Dato
Frutta-Essiccata,Frutta Essiccata
Gefüllte Nudeln,Pasta ripiena
Frische Nudeln,Pasta fresca
Cappeletti,Cappeletti
Cappeletti Al Prosciutto Crudo,Cappeletti Al Prosciutto Crudo
En:Breaded Chicken Cutlets With Spinach,Cotolette di pollo impanate con spinaci
En:Meatballs,Polpette
Visto,Visto
W,W
Crostoli,Crostoli
Alimenti Semiconservati,Alimenti Semiconservati
Acciughe Salate,Acciughe Salate
En:Mixed Nuts,Noci miste
Sculture Di Cioccolato,Sculture Di Cioccolato
Cioccolatini Di Natale,Cioccolatini Di Natale
En:Chocolate Santa Clauses,Babbi Natale al cioccolato
En:Cioccolati,Cioccolati
Cioccolato Al Latte Con Mandorle,Cioccolato Al Latte Con Mandorle
Tourons Croquants Aux Amandes,Tourons croccanti alle mandorle
It:Pizzoccheri Della Valtellina,Pizzoccheri Della Valtellina
Buckwheat Pasta,Pasta di grano saraceno
It:Pizzoccheri,Pizzoccheri
Licensed Products,Prodotti in licenza
Granatina,Granatina
Walnut-Based Drinks,Bevande a base di noci
Bevanda A Base Di Avena,Bevanda A Base Di Avena
Formaggio Vegetale,Formaggio Vegetale
Miele Di Eucalipto,Miele Di Eucalipto
Dates,Date
Deglet Noor Dates,Deglet Noor Date
Lupini Sottovuoto,Lupini Sottovuoto
En:Cooked Cereal Grains And Chestnuts,Cereali cotti e castagne
Lenticchie Di Altamura,Lenticchie Di Altamura
Ceci Neri,Ceci Neri
Olive Leccino,Olive Leccino
Misto Di Vegetali Per Insalate Di Riso,Misto Di Vegetali Per Insalate Di Riso
En:Legume Pickles,Sottaceti di legumi
En:Pickled Lupin Beans,Fagioli lupini sottaceto
Pinoli Sgusciati,Pinoli Sgusciati
En:Potato Starches,Potato Starches
Tortini Di Mirtilli,Tortini Di Mirtilli
En:Chocolate-Tartlets,Crostatine al cioccolato
En:Saffron,Zafferano
En:Powdered Saffron,Zafferano in polvere
Cibi In Scatola,Cibi In Scatola
Napoje Na Bazie Roślin,Bevande a base vegetale
Napoje Owocowe,Bevande alla frutta
Soki I Nektary,Succhi e nettari
Soki Owocowe,Succhi di frutta
Zagęszczone Soki Owocowe,Succhi di frutta concentrati
Soki Grejpfrutowe,Succhi di pompelmo
En:Grapefruit Juices From Concentrate,Succhi di pompelmo da concentrato
Génoise Goût Cacao,Pan di Spagna al cacao
Formaggi A Pasta Molle,Formaggi A Pasta Molle
Tapenades,Tapenades
Fr:Sauce Bruschetta,Salsa per bruschette
Yogurt Al Caffè,Yogurt Al Caffè
En:Dried Ginger,Zenzero essiccato
Frutas Deshidratadas,Frutta secca
Higos Secos,Fichi secchi
Gâteau Au Citron,Torta al limone
Panettone Au Chocolat,Panettone Au Chocolat
Brioches Aux Fruits,Brioches alla frutta
Pomodori Non Pelati Interi,Pomodori Non Pelati Interi
Mandorle Anacardi Noci,Mandorle Anacardi Noci
Abricots Secs,Abricots Secs
Salsa Per La Pizza,Salsa Per La Pizza
Basil Pesto,Pesto di basilico
En:Italian Bakery Products,Prodotti da forno italiani
Pane Toscano,Pane Toscano
Bâtonnets Glacés Au Chocolat,Bastoncini di cioccolato glassati
Mousses Au Chocolat,Mousse al cioccolato
Desszertek,Dolci
Fagyasztott Élelmiszer,Cibo congelato
Fagyasztott Desszertek,Dessert congelati
Sorbets,Sorbetti
Cacao-Solubile,Cacao Solubile
En:Camomilla Istantanea,Camomilla Istantanea
Latte In Polvere,Latte In Polvere
En:Semi-Skimmed Milk Powder,Latte semiscremato in polvere
It:Fruttosio Puro,Fruttosio Puro
En:Cocoa Powder For Beverages With Sugar,Cacao in polvere per bevande con zucchero
Snack Al Cioccolato,Snack Al Cioccolato
Fr:Roulés Au Chocolat,Rotoli di cioccolato
Fr:Beignets Au Chocolat,Ciambelle al cioccolato
Sauce Aux Truffes,Salsa Aux Truffes
Passata Di Pomodoro Classica,Passata Di Pomodoro Classica
Croissant Al Cioccolato,Croissant Al Cioccolato
En:Croissants Fourrés Au Chocolat,Croissant ripieni di cioccolato
Sottilette,Sottilette
En:Cigarette Russes,Sigarette russe
En:Frutta Essiccata,Frutta Essiccata
Salame Ungherese,Salame Ungherese
Mixtures-Of-Aromatic-Plants,Miscele di piante aromatiche
Maccheroni Di Grano Duro,Maccheroni Di Grano Duro
